Country,Job,Salary
Italy,Data Engineer,€30159
Italy,Data Scientist,€31045
Italy,Data Analyst,€27480
Germany,Data Engineer,€57813
Germany,Data Scientist,€55443
Germany,Data Analyst,€46328
Spain,Data Engineer,€38000
Spain,Data Scientist,€34843
Spain,Data Analyst,€28626
France,Data Engineer,€44776
France,Data Scientist,€42858
France,Data Analyst,€40447
Portugal,Data Engineer,€27971
Portugal,Data Scientist,€23921
Portugal,Data Analyst,€20783
Greece,Data Engineer,$15525
Greece,Data Scientist,$17271
Greece,Data Analyst,$15899
